Data,Casos,Mortes,Estado,
3/18/2020,1,0,RN,
3/18/2020,0,0,PB,
3/18/2020,16,0,PE,
3/18/2020,1,0,AL,
3/18/2020,5,0,SE,
3/18/2020,3,0,BA,
3/18/2020,15,0,MG,
3/18/2020,9,0,ES,
3/18/2020,45,0,RJ,
3/18/2020,240,4,SP,
3/18/2020,13,0,PR,
3/18/2020,10,0,SC,
3/18/2020,19,0,RS,
3/18/2020,7,0,MS,
3/18/2020,0,0,MT,
3/18/2020,8,0,GO,
3/18/2020,26,0,DF,
3/19/2020,0,0,RO,
3/19/2020,3,0,AC,
3/19/2020,3,0,AM,
3/19/2020,0,0,RR,
3/19/2020,1,0,PA,
3/19/2020,0,0,AP,
3/19/2020,1,0,TO,
3/19/2020,0,0,MA,
3/19/2020,0,0,PI,
3/19/2020,20,0,CE,
3/19/2020,1,0,RN,
3/19/2020,1,0,PB,
3/19/2020,28,0,PE,
3/19/2020,4,0,AL,
3/19/2020,6,0,SE,
3/19/2020,30,0,BA,
3/19/2020,29,0,MG,
3/19/2020,11,0,ES,
3/19/2020,65,2,RJ,
3/19/2020,286,4,SP,
3/19/2020,23,0,PR,
3/19/2020,20,0,SC,
3/19/2020,28,0,RS,
3/19/2020,7,0,MS,
3/19/2020,0,0,MT,
3/19/2020,12,0,GO,
3/19/2020,42,0,DF,
3/20/2020,1,0,RO,
3/20/2020,7,0,AC,
3/20/2020,3,0,AM,
3/20/2020,0,0,RR,
3/20/2020,2,0,PA,
3/20/2020,1,0,AP,
3/20/2020,1,0,TO,
3/20/2020,0,0,MA,
3/20/2020,3,0,PI,
3/20/2020,55,0,CE,
3/20/2020,1,0,RN,
3/20/2020,1,0,PB,
3/20/2020,30,0,PE,
3/20/2020,5,0,AL,
3/20/2020,6,0,SE,
3/20/2020,33,0,BA,
3/20/2020,35,0,MG,
3/20/2020,13,0,ES,
3/20/2020,109,2,RJ,
3/20/2020,396,9,SP,
3/20/2020,32,0,PR,
3/20/2020,21,0,SC,
3/20/2020,37,0,RS,
3/20/2020,9,0,MS,
3/20/2020,1,0,MT,
3/20/2020,15,0,GO,
3/20/2020,87,0,DF,
3/21/2020,1,0,RO,
3/21/2020,9,0,AC,
3/21/2020,11,0,AM,
3/21/2020,0,0,RR,
3/21/2020,2,0,PA,
3/21/2020,1,0,AP,
3/21/2020,2,0,TO,
3/21/2020,1,0,MA,
3/21/2020,4,0,PI,
3/21/2020,68,0,CE,
3/21/2020,6,0,RN,
3/21/2020,1,0,PB,
3/21/2020,30,0,PE,
3/21/2020,7,0,AL,
3/21/2020,10,0,SE,
3/21/2020,41,0,BA,
3/21/2020,38,0,MG,
3/21/2020,26,0,ES,
3/21/2020,119,3,RJ,
3/21/2020,459,15,SP,
3/21/2020,43,0,PR,
3/21/2020,51,0,SC,
3/21/2020,60,0,RS,
3/21/2020,16,0,MS,
3/21/2020,2,0,MT,
3/21/2020,20,0,GO,
3/21/2020,100,0,DF,
3/22/2020,3,0,RO,
3/22/2020,11,0,AC,
3/22/2020,26,0,AM,
3/22/2020,2,0,RR,
3/22/2020,4,0,PA,
3/22/2020,1,0,AP,
3/22/2020,2,0,TO,
3/22/2020,2,0,MA,
3/22/2020,4,0,PI,
3/22/2020,112,0,CE,
3/22/2020,9,0,RN,
3/22/2020,1,0,PB,
3/22/2020,37,0,PE,
3/22/2020,7,0,AL,
3/22/2020,10,0,SE,
3/22/2020,49,0,BA,
3/22/2020,83,0,MG,
3/22/2020,26,0,ES,
3/22/2020,186,3,RJ,
3/22/2020,631,22,SP,
3/22/2020,50,0,PR,
3/22/2020,57,0,SC,
3/22/2020,72,0,RS,
3/22/2020,21,0,MS,
3/22/2020,2,0,MT,
3/22/2020,21,0,GO,
3/22/2020,117,0,DF,
3/23/2020,3,0,RO,
3/23/2020,11,0,AC,
3/23/2020,32,0,AM,
3/23/2020,2,0,RR,
3/23/2020,5,0,PA,
3/23/2020,1,0,AP,
3/23/2020,5,0,TO,
3/23/2020,2,0,MA,
3/23/2020,6,0,PI,
3/23/2020,163,0,CE,
3/23/2020,13,0,RN,
3/23/2020,2,0,PB,
3/23/2020,42,0,PE,
3/23/2020,7,0,AL,
3/23/2020,10,0,SE,
3/23/2020,63,0,BA,
3/23/2020,128,0,MG,
3/23/2020,29,0,ES,
3/23/2020,233,4,RJ,
3/23/2020,745,30,SP,
3/23/2020,56,0,PR,
3/23/2020,68,0,SC,
3/23/2020,86,0,RS,
3/23/2020,21,0,MS,
3/23/2020,2,0,MT,
3/23/2020,23,0,GO,
3/23/2020,133,0,DF,
3/24/2020,3,0,RO,
3/24/2020,17,0,AC,
3/24/2020,47,0,AM,
3/24/2020,2,0,RR,
3/24/2020,5,0,PA,
3/24/2020,1,0,AP,
3/24/2020,7,0,TO,
3/24/2020,8,0,MA,
3/24/2020,6,0,PI,
3/24/2020,182,0,CE,
3/24/2020,13,0,RN,
3/24/2020,3,0,PB,
3/24/2020,42,0,PE,
3/24/2020,7,0,AL,
3/24/2020,15,0,SE,
3/24/2020,76,0,BA,
3/24/2020,130,0,MG,
3/24/2020,33,0,ES,
3/24/2020,305,6,RJ,
3/24/2020,810,40,SP,
3/24/2020,65,0,PR,
3/24/2020,107,0,SC,
3/24/2020,98,0,RS,
3/24/2020,23,0,MS,
3/24/2020,7,0,MT,
3/24/2020,27,0,GO,
3/24/2020,160,0,DF,
3/25/2020,5,0,RO,
3/25/2020,23,0,AC,
3/25/2020,54,1,AM,
3/25/2020,8,0,RR,
3/25/2020,7,0,PA,
3/25/2020,1,0,AP,
3/25/2020,7,0,TO,
3/25/2020,8,0,MA,
3/25/2020,8,0,PI,
3/25/2020,200,0,CE,
3/25/2020,14,0,RN,
3/25/2020,3,0,PB,
3/25/2020,46,1,PE,
3/25/2020,11,0,AL,
3/25/2020,16,0,SE,
3/25/2020,84,0,BA,
3/25/2020,133,0,MG,
3/25/2020,39,0,ES,
3/25/2020,370,6,RJ,
3/25/2020,862,48,SP,
3/25/2020,81,0,PR,
3/25/2020,109,0,SC,
3/25/2020,123,1,RS,
3/25/2020,24,0,MS,
3/25/2020,8,0,MT,
3/25/2020,29,0,GO,
3/25/2020,160,0,DF,
3/26/2020,24,0,AC,
3/26/2020,67,1,AM,
3/26/2020,2,0,AP,
3/26/2020,13,0,PA,
3/26/2020,5,0,RO,
3/26/2020,8,0,RR,
3/26/2020,7,0,TO,
3/26/2020,11,0,AL,
3/26/2020,104,0,BA,
3/26/2020,235,3,CE,
3/26/2020,10,0,MA,
3/26/2020,5,0,PB,
3/26/2020,48,3,PE,
3/26/2020,9,0,PI,
3/26/2020,19,0,RN,
3/26/2020,16,0,SE,
3/26/2020,39,0,ES,
3/26/2020,153,0,MG,
3/26/2020,421,9,RJ,
3/26/2020,1052,58,SP,
3/26/2020,200,0,DF,
3/26/2020,39,1,GO,
3/26/2020,25,0,MS,
3/26/2020,11,0,MT,
3/26/2020,102,0,PR,
3/26/2020,122,1,SC,
3/26/2020,168,1,RS,
3/27/2020,25,0,AC,
3/27/2020,81,1,AM,
3/27/2020,2,0,AP,
3/27/2020,13,0,PA,
3/27/2020,6,0,RO,
3/27/2020,10,0,RR,
3/27/2020,8,0,TO,
3/27/2020,11,0,AL,
3/27/2020,115,0,BA,
3/27/2020,282,3,CE,
3/27/2020,13,0,MA,
3/27/2020,9,0,PB,
3/27/2020,56,4,PE,
3/27/2020,9,0,PI,
3/27/2020,28,0,RN,
3/27/2020,16,0,SE,
3/27/2020,47,0,ES,
3/27/2020,189,0,MG,
3/27/2020,493,10,RJ,
3/27/2020,1223,68,SP,
3/27/2020,230,0,DF,
3/27/2020,49,1,GO,
3/27/2020,28,0,MS,
3/27/2020,11,0,MT,
